    0.8314    0.8157    0.7843
    0.7275    0.8387    0.8113
    0.6235    0.8618    0.8382
    0.5196    0.8848    0.8652
    0.4157    0.9078    0.8922
    0.3118    0.9309    0.9191
    0.2078    0.9539    0.9461
    0.1039    0.9770    0.9730
         0    1.0000    1.0000
         0    0.9163    0.8333
         0    0.8327    0.6667
         0    0.7490    0.5000
         0    0.6654    0.3333
         0    0.5817    0.1667
         0    0.4980         0
    0.1667    0.5817         0
    0.3333    0.6654         0
    0.5000    0.7490         0
    0.6667    0.8327         0
    0.8333    0.9163         0
    1.0000    1.0000         0
    1.0000    0.9000         0
    1.0000    0.8000         0
    1.0000    0.7000         0
    1.0000    0.6000         0
    1.0000    0.5000         0
    1.0000    0.4000         0
    1.0000    0.3000         0
    1.0000    0.2000         0
    1.0000    0.1000         0
    1.0000         0         0
    1.0000         0    0.1111
    1.0000         0    0.2222
    1.0000         0    0.3333
    1.0000         0    0.4444
    1.0000         0    0.5556
    1.0000         0    0.6667
    1.0000         0    0.7778
    1.0000         0    0.8889
    1.0000         0    1.0000
